Feedback_Date,Customer_ID,Product_ID,Rating,Comments,Cleaned_Comments
16/02/2018,1,P001,1,Like start nearly grow add film.,"['like', 'start', 'nearly', 'grow', 'add', 'film']"
13/04/2018,2,P002,4,Whom still case door certain century mean ability.,"['whom', 'still', 'case', 'door', 'certain', 'century', 'mean', 'ability']"
02/02/2018,3,P003,1,Follow new special beat address.,"['follow', 'new', 'special', 'beat', 'address']"
08/04/2018,4,P004,5,Development strong lose send certain say health.,"['development', 'strong', 'lose', 'send', 'certain', 'say', 'health']"
22/02/2018,5,P005,3,Seem response quickly budget.,"['seem', 'response', 'quickly', 'budget']"
26/02/2018,6,P006,3,Everybody too race perform voice take the camera.,"['everybody', 'too', 'race', 'perform', 'voice', 'take', 'the', 'camera']"
16/06/2018,7,P007,3,Let growth various thank low.,"['let', 'growth', 'various', 'thank', 'low']"
29/06/2018,8,P008,2,Group then minute could wind wall drug.,"['group', 'then', 'minute', 'could', 'wind', 'wall', 'drug']"
01/08/2018,9,P009,5,Account ever wife lawyer yard American by.,"['account', 'ever', 'wife', 'lawyer', 'yard', 'american', 'by']"
17/05/2018,10,P010,5,Though old situation successful respond long heavy past.,"['though', 'old', 'situation', 'successful', 'respond', 'long', 'heavy', 'past']"
22/08/2018,11,P011,2,Much agree start throw color.,"['much', 'agree', 'start', 'throw', 'color']"
07/08/2018,12,P012,4,Newspaper inside we option ever impact central authority.,"['newspaper', 'inside', 'we', 'option', 'ever', 'impact', 'central', 'authority']"
26/07/2018,13,P013,2,Game course provide their catch according.,"['game', 'course', 'provide', 'their', 'catch', 'according']"
07/04/2018,14,P014,1,Produce recently century father positive.,"['produce', 'recently', 'century', 'father', 'positive']"
06/06/2018,15,P015,2,Dinner act find act everything value.,"['dinner', 'act', 'find', 'act', 'everything', 'value']"
25/01/2018,16,P016,1,Many call anyone avoid none around others.,"['many', 'call', 'anyone', 'avoid', 'none', 'around', 'others']"
03/08/2018,17,P017,2,Determine political address return response.,"['determine', 'political', 'address', 'return', 'response']"
